y_start,y_end,x_start,x_end,highway,oneway,edge_index
-117.7085754,-117.7085741,34.1008463,34.1009973,footway,False,130
-117.7085741,-117.7085888,34.1009973,34.1010406,footway,False,130
-117.7085888,-117.7086156,34.1010406,34.1010795,footway,False,130
-117.7086156,-117.7086357,34.1010795,34.1011217,footway,False,130
-117.7086357,-117.7086585,34.1011217,34.1011761,footway,False,130
-117.7086585,-117.7086626,34.1011761,34.1012294,footway,False,131
-117.7086626,-117.7086612,34.1012294,34.1013005,footway,False,131
-117.7086612,-117.7086585,34.1013005,34.1013726,footway,False,131
-117.7086585,-117.7086572,34.1013726,34.1014304,footway,False,131
-117.7086572,-117.7085754,34.1014304,34.1014293,footway,False,131
-117.7086585,-117.7086357,34.1011761,34.1011217,footway,False,132
-117.7086357,-117.7086156,34.1011217,34.1010795,footway,False,132
-117.7086156,-117.7085888,34.1010795,34.1010406,footway,False,132
-117.7085888,-117.7085741,34.1010406,34.1009973,footway,False,132
-117.7085741,-117.7085754,34.1009973,34.1008463,footway,False,132
-117.7086585,-117.708744,34.1011761,34.1011511,footway,False,133
-117.708744,-117.7088477,34.1011511,34.101138,footway,False,133
-117.7088477,-117.7089616,34.101138,34.1011343,footway,False,133
-117.7089616,-117.7090394,34.1011343,34.1011389,footway,False,133
-117.7090394,-117.7091387,34.1011389,34.1011539,footway,False,133
-117.7085754,-117.7085736,34.1014293,34.1015189,footway,False,134
-117.7085754,-117.7086572,34.1014293,34.1014304,footway,False,135
-117.7086572,-117.7086585,34.1014304,34.1013726,footway,False,135
-117.7086585,-117.7086612,34.1013726,34.1013005,footway,False,135
-117.7086612,-117.7086626,34.1013005,34.1012294,footway,False,135
-117.7086626,-117.7086585,34.1012294,34.1011761,footway,False,135
-117.7085754,-117.7085764,34.1014293,34.1013854,footway,False,136
-117.7085764,-117.7085091,34.1013854,34.1013893,footway,False,136
-117.7085091,-117.7084626,34.1013893,34.1013783,footway,False,136
-117.7084626,-117.708418,34.1013783,34.1013736,footway,False,136
-117.708418,-117.7080662,34.1013736,34.1013728,footway,False,136
-117.7053419,-117.7053115,34.1044689,34.1044688,footway,False,137
-117.7053419,-117.7053171,34.1044689,34.1044395,footway,False,138
-117.7053171,-117.7053187,34.1044395,34.1043407,footway,False,138
-117.7053419,-117.7053775,34.1044689,34.1045006,footway,False,139
-117.7053775,-117.7054056,34.1045006,34.1045406,footway,False,139
-117.7054056,-117.7054378,34.1045406,34.1045861,footway,False,139
-117.7054378,-117.7054579,34.1045861,34.1046305,footway,False,139
-117.7054579,-117.705485,34.1046305,34.1046747,footway,False,139
-117.7053279,-117.7056654,34.1037699,34.1037712,footway,False,140
-117.7053279,-117.7053275,34.1037699,34.1037919,footway,False,141
-117.7053279,-117.7053254,34.1037699,34.1034737,footway,False,142
-117.7070244,-117.706627,34.1037766,34.103775,footway,False,143
-117.7053187,-117.7053215,34.1043407,34.1041674,footway,False,144
-117.7053187,-117.7053171,34.1043407,34.1044395,footway,False,145
-117.7053171,-117.7053419,34.1044395,34.1044689,footway,False,145
-117.7053187,-117.70536,34.1043407,34.1042819,footway,False,146
-117.70536,-117.7054043,34.1042819,34.1042508,footway,False,146
-117.7054043,-117.7054539,34.1042508,34.1042297,footway,False,147
-117.7054539,-117.7055129,34.1042297,34.1042097,footway,False,147
-117.7055129,-117.7055384,34.1042097,34.1042071,footway,False,147
-117.7054043,-117.70536,34.1042508,34.1042819,footway,False,148
-117.70536,-117.7053187,34.1042819,34.1043407,footway,False,148
-117.7054043,-117.7053614,34.1042508,34.1042097,footway,False,149
-117.7053614,-117.7053215,34.1042097,34.1041674,footway,False,149
-117.7059151,-117.7042483,34.0995964,34.0995667,secondary,False,150
-117.7059151,-117.7070757,34.0995964,34.0996156,secondary,False,151
-117.7056229,-117.7055384,34.1041986,34.1042071,footway,False,152
-117.7056229,-117.7057034,34.1041986,34.1042063,footway,False,153
-117.7057034,-117.7057903,34.1042063,34.104205,footway,False,153
-117.7056229,-117.705584,34.1041986,34.1041653,footway,False,154
-117.705584,-117.7055548,34.1041653,34.1041339,footway,False,154
-117.7057903,-117.7061867,34.104205,34.1042006,footway,False,155
-117.7057903,-117.7057852,34.104205,34.1042541,footway,False,156
-117.7057852,-117.7057835,34.1042541,34.1045796,footway,False,156
-117.7057903,-117.7057034,34.104205,34.1042063,footway,False,157
-117.7057034,-117.7056229,34.1042063,34.1041986,footway,False,157
-117.7057903,-117.7058176,34.104205,34.1041461,footway,False,158
-117.7058176,-117.7058156,34.1041461,34.1041167,footway,False,158
-117.7058156,-117.7057982,34.1041167,34.1040917,footway,False,158
-117.7057982,-117.7057687,34.1040917,34.10407,footway,False,158
-117.7057687,-117.7057371,34.10407,34.1040245,footway,False,158
-117.7057371,-117.705721,34.1040245,34.1039884,footway,False,158
-117.705721,-117.7057204,34.1039884,34.1039506,footway,False,158
-117.7057204,-117.7057324,34.1039506,34.1039162,footway,False,158
-117.7057324,-117.7057358,34.1039162,34.1038935,footway,False,158
-117.7057358,-117.7057298,34.1038935,34.1038735,footway,False,158
